Input file,ID,Dataset,File name,Similarity (%),Left top,Right bottom
1.jpg,28,input/pytest,1.jpg,100.0,"(233,357)","(788,911)"
1.jpg,29,input/pytest,1.jpg,100.0,"(233,357)","(788,911)"
